Date,Location,Maize_Yellow,Rice_Local,Rice_Imported,Millet,Sorghum,Maize_White
15/01/2010,Kumasi,61.9,53.5,71,68.4,64.2,52.4
15/02/2010,Kumasi,60.2,58.75,70,70,53.25,49
15/03/2010,Kumasi,59.075,59.375,65.25,67.5,56,47.25
15/04/2010,Kumasi,57.5,50,70.5,69,60,38
15/05/2010,Kumasi,59.72,52,70.4,70,62.6,43.6
15/06/2010,Kumasi,60.4,52.5,71.5,69,60.5,48.5
15/07/2010,Kumasi,61.06,51.1,69.8,70.8,63.6,50
15/08/2010,Kumasi,57.3,45,70.5,68.25,63.75,39
15/09/2010,Kumasi,56.75,44.25,70.5,68.5,65,35.5
15/10/2010,Kumasi,58.635,58.625,71,69,64.75,29.8
15/11/2010,Kumasi,60.2,52.5,73,70.5,69,36
15/12/2010,Kumasi,56.85,50,72.25,64.5,55.25,42.25
15/01/2011,Kumasi,58.34334,50.9167,72,68,57,43.8
15/02/2011,Kumasi,56.91,40.6,71,69.5,65.25,38.2
15/03/2011,Kumasi,62.3,55.75,70.5,70,65.25,50
15/04/2011,Kumasi,61.65,52.5,70.5,70,65.25,50
15/05/2011,Kumasi,61.75,53,70.5,70,65.25,50
15/06/2011,Kumasi,73.1,56.5,82.5,75,70.5,81
15/07/2011,Kumasi,71.4,55,75.25,73.75,70,83
15/08/2011,Kumasi,72.76666,60.3333,74.25,75.25,71,83
15/09/2011,Kumasi,73.975,61.375,74.5,75.25,73,85.75
15/10/2011,Kumasi,70.776,56.25,77.88,73,69.75,77
15/11/2011,Kumasi,75.75,62.25,91.25,79.5,78.75,67
15/12/2011,Kumasi,90.16,68.8,104.75,85.25,91,101
15/01/2012,Kumasi,98.05,69.5,137.5,90.5,92.75,100
15/02/2012,Kumasi,98.75,70,140,93,90.75,100
15/03/2012,Kumasi,97.7,69,140,89.5,87,103
15/04/2012,Kumasi,99.3,69.75,140,95.5,90,101.25
15/05/2012,Kumasi,104.85,71.5,145,93.75,91.25,122.75
15/06/2012,Kumasi,110.36,65.1,150,112.5,93,131.2
15/07/2012,Kumasi,108,70,157.5,100,92.5,120
15/08/2012,Kumasi,103.1,65,139.5,99.75,101.25,110
15/09/2012,Kumasi,97.5,66.25,147.5,96.25,91.25,86.25
15/10/2012,Kumasi,113.15,65.75,160,150,120,70
15/11/2012,Kumasi,112,65,160,142.5,115,77.5
15/12/2012,Kumasi,113.29,77.2,160,135,116.25,78
15/01/2013,Kumasi,108.5,74,161,123.75,105,78.75
15/02/2013,Kumasi,110.35,72.75,159,131.25,110,78.75
15/03/2013,Kumasi,107.3,71.25,167,115,105,78.25
15/04/2013,Kumasi,108.95,70,170,118.75,105,81
15/05/2013,Kumasi,107.2,68.5,170,111.25,102.5,83.75
15/06/2013,Kumasi,105.07,65.6,171.25,112.5,100,76
15/07/2013,Kumasi,105.4,66.5,170,117.5,100,73
15/08/2013,Kumasi,108.9,78,170,117.5,100,79
15/09/2013,Kumasi,107.9,85,173,110,100,71.5
15/10/2013,Kumasi,108.6,85,176,112,100,70
15/11/2013,Kumasi,110.2,80.75,176,120,100,74.25
15/12/2013,Kumasi,111.075,80.625,176,120,100,78.75
15/01/2014,Kumasi,111.35,72,186,112.5,98.25,88
15/02/2014,Kumasi,119.95,100,198,107.5,98.75,95.5
15/03/2014,Kumasi,123.534,100,206.67,115,100,96
15/04/2014,Kumasi,129.7,100,220,123,110,95.5
15/05/2014,Kumasi,132,108,220,120,110,102
15/06/2014,Kumasi,155.95,130,220,167,154,108.75
15/07/2014,Kumasi,155.25,130,220,165,152.5,108.75
15/08/2014,Kumasi,169,150,250,157.5,147.5,140
15/09/2014,Kumasi,167.45,140,272.5,148.75,140,136
15/10/2014,Kumasi,167.1,140,272.5,148,139,136
15/11/2014,Kumasi,165,140,280,141.25,137.5,126.25
15/12/2014,Kumasi,173.25,140,280,166.25,155,125
15/01/2015,Kumasi,173.4,130,280,172,160,125
15/02/2015,Kumasi,175.5,130,280,177.5,165,125
15/03/2015,Kumasi,175.05,130,280,180,164,121.25
15/04/2015,Kumasi,173.75,122.5,280,178.75,165,122.5
15/05/2015,Kumasi,175.9,123,280,177.5,165,134
15/06/2015,Kumasi,176.3,125,280,171,163,142.5
15/07/2015,Kumasi,188.25,162.5,295,170,162.5,151.25
15/10/2015,Kumasi,182.2,156,276,170,165,144
15/11/2015,Kumasi,176.3,150,252.5,170,164,145
15/12/2015,Kumasi,176,150,250,172.5,162.5,145
15/01/2016,Kumasi,178.3,150,258,177.5,165,141
15/02/2016,Kumasi,177.5,150,260,172,163,142.5
15/03/2016,Kumasi,173.25,150,260,161.25,150,145
15/04/2016,Kumasi,171.85,156,264,141.25,150,148
15/05/2016,Kumasi,178.8,158.75,280,156,148,151.25
15/06/2016,Kumasi,190.5,156.25,280,178.75,168.75,168.75
15/07/2016,Kumasi,172,151,210,168,156,175
15/08/2016,Kumasi,168,162.5,190,170,160,157.5
15/09/2016,Kumasi,179.734,160,260,170,161.67,147
15/10/2016,Kumasi,174.48,161,252,167.5,157.5,134.4
15/11/2016,Kumasi,162.65,153.75,250,170,162,77.5
15/12/2016,Kumasi,173.4,148,250,177.5,167.5,124
15/01/2017,Kumasi,169.936,150,257.5,162.68,153,126.5
15/02/2017,Kumasi,185.938,155,260,201.67,183.02,130
15/03/2017,Kumasi,184.49,153,252,208.89,183.56,125
15/04/2017,Kumasi,183.82,160,250,202.16,191.94,115
15/05/2017,Kumasi,191.396,160,250,200.74,206.24,140
15/06/2017,Kumasi,211.734,160,247,251.04,240.63,160
15/07/2017,Kumasi,222.67,216,210,253.58,233.77,200
15/08/2017,Kumasi,224.022,212.22,251.67,255.23,233.77,167.22
15/09/2017,Kumasi,214.504,199.44,260,227.31,233.77,152
15/10/2017,Kumasi,223.17466,163.5,282.08,270.28,246.68,153.3333
15/11/2017,Kumasi,241.424,205,360,287.09,245.03,110
15/12/2017,Kumasi,186.888,150,180,258.36,230.08,116
15/01/2018,Kumasi,204.39,150,270,255.86,230.08,116.01
15/02/2018,Kumasi,200.0074,181.597,180,258.36,230.08,150
15/03/2018,Kumasi,198.92874,181.597,180,244.8,230.08,158.1667
15/04/2018,Kumasi,223.99796,181.1636,263.3333,244.8,283.13,147.5629
15/05/2018,Kumasi,216.454,153.45,253.33,244.8,283.13,147.56
15/06/2018,Kumasi,209.046,153.45,253.33,208.07,283.13,147.25
15/07/2018,Kumasi,209.046,153.45,253.33,208.07,283.13,147.25
15/08/2018,Kumasi,208.564,153.45,253.33,205.35,283.13,147.56
15/09/2018,Kumasi,218.354,183.13,253.33,206.03,232.91,216.37
15/10/2018,Kumasi,218.2654,174.1379,253.3333,206.03,241.46,216.3658
15/11/2018,Kumasi,207.82556,111.9345,263.3333,206.03,241.46,216.37
15/12/2018,Kumasi,203.44138,130.4841,263.3333,206.03,241.46,175.8995
15/01/2019,Kumasi,221.386,186.24,253.33,206.03,241.46,219.87
15/02/2019,Kumasi,180.91562,123.3333,196.6667,206.03,241.46,137.0881
15/03/2019,Kumasi,206.8231,191.6667,260,206.03,241.46,134.9588
15/04/2019,Kumasi,206.8231,191.6667,260,206.03,241.46,134.9588
15/05/2019,Kumasi,211.46012,191.6667,260,206.03,241.46,158.1439
15/06/2019,Kumasi,211.46012,191.6667,260,206.03,241.46,158.1439
15/07/2019,Kumasi,230.16496,191.6667,260,269.17,241.46,188.5281
15/08/2019,Kumasi,197.22,207.2134,225.835,301.295,317.56,235.8721
